Predictions,Result
Chihuahua,0.3945050835609436
Chihuahua,0.5531219244003296
Chihuahua,0.7565694451332092
Japanese_spaniel,0.7960242033004761
Japanese_spaniel,0.9563943147659302
Japanese_spaniel,0.9101148843765259
Maltese_dog,0.9628520607948303
Maltese_dog,0.8344984650611877
Maltese_dog,0.8920504450798035
Pekinese,0.4544367492198944
Brabancon_griffon,0.3121936023235321
Pekinese,0.3356747031211853
Lhasa,0.833584189414978
Shih-Tzu,0.8970543146133423
Shih-Tzu,0.9010081887245178
Blenheim_spaniel,0.9388383626937866
Blenheim_spaniel,0.8691097497940063
Blenheim_spaniel,0.9663674831390381
papillon,0.7633535861968994
papillon,0.9031283855438232
papillon,0.7688198685646057
toy_terrier,0.9697322845458984
toy_terrier,0.9930089712142944
toy_terrier,0.8582504987716675
Rhodesian_ridgeback,0.9859561920166016
Rhodesian_ridgeback,0.5979273319244385
Rhodesian_ridgeback,0.8659568428993225
Afghan_hound,0.9309174418449402
Afghan_hound,0.8228564262390137
Afghan_hound,0.9846922159194946
basset,0.936072826385498
basset,0.8262763023376465
basset,0.9645208716392517
beagle,0.9706399440765381
beagle,0.9879591464996338
beagle,0.6611287593841553
bloodhound,0.7463860511779785
bloodhound,0.8489170074462891
bloodhound,0.8937638998031616
bluetick,0.7093123197555542
bluetick,0.9856929779052734
bluetick,0.9116905331611633
Walker_hound,0.6068680882453918
Walker_hound,0.6169440746307373
Walker_hound,0.970937967300415
beagle,0.46333834528923035
Walker_hound,0.4316885769367218
English_foxhound,0.7645456790924072
redbone,0.9875971674919128
redbone,0.8622751235961914
redbone,0.8212031126022339
borzoi,0.7868008017539978
borzoi,0.8959984183311462
borzoi,0.4593362510204315
Irish_wolfhound,0.8492193818092346
Irish_wolfhound,0.9907649755477905
Irish_wolfhound,0.9813840389251709
Italian_greyhound,0.8655152320861816
Italian_greyhound,0.977865993976593
Italian_greyhound,0.977867603302002
whippet,0.8979933857917786
whippet,0.8986862301826477
whippet,0.9296826124191284
Ibizan_hound,0.9640302062034607
Ibizan_hound,0.9660952687263489
Cardigan,0.2478111833333969
Norwegian_elkhound,0.9067926406860352
Norwegian_elkhound,0.869746208190918
Norwegian_elkhound,0.9473500847816467
otterhound,0.9042118787765503
otterhound,0.8636114001274109
otterhound,0.7695882320404053
golden_retriever,0.33214271068573
Saluki,0.9923120141029358
Saluki,0.7540753483772278
Scottish_deerhound,0.9135756492614746
Scottish_deerhound,0.8328959345817566
Scottish_deerhound,0.5874905586242676
Weimaraner,0.605082094669342
Weimaraner,0.6698606014251709
Weimaraner,0.876089870929718
Staffordshire_bullterrier,0.5241189002990723
Staffordshire_bullterrier,0.36026111245155334
Staffordshire_bullterrier,0.857590913772583
Border_terrier,0.7215824127197266
Border_terrier,0.9230567812919617
Border_terrier,0.8681350350379944
Irish_terrier,0.7759098410606384
Irish_terrier,0.5910604000091553
Irish_terrier,0.8874558210372925
cairn,0.618232011795044
cairn,0.9457575082778931
cairn,0.9266279339790344
golden_retriever,0.716084361076355
golden_retriever,0.907842755317688
golden_retriever,0.9566302299499512
Labrador_retriever,0.8974229693412781
Labrador_retriever,0.820489227771759
Labrador_retriever,0.7791129350662231
Old_English_sheepdog,0.8474389910697937
Old_English_sheepdog,0.9609740972518921
Old_English_sheepdog,0.9461098313331604
