Predictions,Result
Pomeranian,0.7476673126220703
Chihuahua,0.6626364588737488
Chihuahua,0.9662856459617615
Japanese_spaniel,0.8183267116546631
Japanese_spaniel,0.7956735491752625
Japanese_spaniel,0.9726753234863281
Maltese_dog,0.9781560897827148
Maltese_dog,0.7443736791610718
Maltese_dog,0.5022384524345398
Great_Pyrenees,0.8963836431503296
toy_terrier,0.3165079951286316
pug,0.7274506688117981
Lhasa,0.23708955943584442
Shih-Tzu,0.9768890738487244
Shih-Tzu,0.9754514098167419
Blenheim_spaniel,0.9973083734512329
Blenheim_spaniel,0.9992262125015259
Blenheim_spaniel,0.9896994233131409
Japanese_spaniel,0.8554710745811462
papillon,0.5661789178848267
papillon,0.6510228514671326
toy_terrier,0.9755751490592957
toy_terrier,0.9927062392234802
kelpie,0.5645294785499573
Irish_terrier,0.6752676367759705
Great_Dane,0.7392624616622925
Rhodesian_ridgeback,0.6426810026168823
standard_poodle,0.9463326930999756
Afghan_hound,0.9833975434303284
Afghan_hound,0.7533060312271118
basset,0.9652426242828369
basset,0.5056672096252441
basset,0.9981665015220642
beagle,0.5618524551391602
beagle,0.9809911251068115
beagle,0.7577128410339355
bloodhound,0.9899128079414368
bloodhound,0.9994738698005676
bloodhound,0.9993327260017395
bluetick,0.9878079295158386
bluetick,0.9998276233673096
bluetick,0.9157547950744629
beagle,0.3760624825954437
Walker_hound,0.7402300834655762
Walker_hound,0.994306743144989
beagle,0.6250737309455872
Walker_hound,0.7498291730880737
English_foxhound,0.44071152806282043
redbone,0.8714713454246521
Irish_setter,0.5470116138458252
redbone,0.9489558935165405
borzoi,0.8468559384346008
borzoi,0.8857637643814087
borzoi,0.8539860248565674
Irish_wolfhound,0.9660820364952087
Irish_wolfhound,0.97724848985672
Irish_wolfhound,0.9679253101348877
Mexican_hairless,0.89971923828125
Italian_greyhound,0.9765641689300537
Italian_greyhound,0.9529229998588562
whippet,0.9944701194763184
whippet,0.5815473794937134
whippet,0.3113529086112976
Ibizan_hound,0.9999608993530273
Ibizan_hound,0.9998377561569214
Cardigan,0.4329878091812134
Norwegian_elkhound,0.9999361038208008
Norwegian_elkhound,0.8997634649276733
Norwegian_elkhound,0.9987712502479553
otterhound,0.65216463804245
otterhound,0.6198301911354065
otterhound,0.74193274974823
Saluki,0.3471983075141907
Saluki,0.9458193778991699
English_setter,0.42978566884994507
Scottish_deerhound,0.967055082321167
Scottish_deerhound,0.5123611092567444
Irish_wolfhound,0.7340040802955627
Weimaraner,0.9439024925231934
Weimaraner,0.7290721535682678
Weimaraner,0.9982547163963318
Staffordshire_bullterrier,0.8116287589073181
Staffordshire_bullterrier,0.7837954759597778
American_Staffordshire_terrier,0.6305934190750122
Irish_wolfhound,0.4581623077392578
Border_terrier,0.9910274147987366
Border_terrier,0.8217242360115051
Irish_terrier,0.6678380370140076
Border_terrier,0.9686545133590698
Irish_terrier,0.9431096911430359
soft-coated_wheaten_terrier,0.43321138620376587
cairn,0.6232345700263977
cairn,0.9826346039772034
golden_retriever,0.9001569151878357
golden_retriever,0.9133343696594238
golden_retriever,0.7178207039833069
Labrador_retriever,0.8996989727020264
Labrador_retriever,0.6795204877853394
Labrador_retriever,0.709040641784668
Old_English_sheepdog,0.953771710395813
Old_English_sheepdog,0.8861150741577148
Old_English_sheepdog,0.9973059892654419
