,Directory,File,FilePath,Breeds
0,n02085620-Chihuahua,n02085620_10074.jpg,./images/n02085620-Chihuahua/n02085620_10074.jpg,Chihuahua
1,n02085620-Chihuahua,n02085620_10131.jpg,./images/n02085620-Chihuahua/n02085620_10131.jpg,Chihuahua
2,n02085620-Chihuahua,n02085620_10621.jpg,./images/n02085620-Chihuahua/n02085620_10621.jpg,Chihuahua
3,n02085620-Chihuahua,n02085620_1073.jpg,./images/n02085620-Chihuahua/n02085620_1073.jpg,Chihuahua
4,n02085620-Chihuahua,n02085620_10976.jpg,./images/n02085620-Chihuahua/n02085620_10976.jpg,Chihuahua
5,n02085620-Chihuahua,n02085620_11140.jpg,./images/n02085620-Chihuahua/n02085620_11140.jpg,Chihuahua
6,n02085620-Chihuahua,n02085620_11238.jpg,./images/n02085620-Chihuahua/n02085620_11238.jpg,Chihuahua
7,n02085620-Chihuahua,n02085620_11258.jpg,./images/n02085620-Chihuahua/n02085620_11258.jpg,Chihuahua
8,n02085620-Chihuahua,n02085620_11337.jpg,./images/n02085620-Chihuahua/n02085620_11337.jpg,Chihuahua
9,n02085620-Chihuahua,n02085620_11477.jpg,./images/n02085620-Chihuahua/n02085620_11477.jpg,Chihuahua
10,n02085620-Chihuahua,n02085620_1152.jpg,./images/n02085620-Chihuahua/n02085620_1152.jpg,Chihuahua
11,n02085620-Chihuahua,n02085620_11696.jpg,./images/n02085620-Chihuahua/n02085620_11696.jpg,Chihuahua
12,n02085620-Chihuahua,n02085620_11818.jpg,./images/n02085620-Chihuahua/n02085620_11818.jpg,Chihuahua
13,n02085620-Chihuahua,n02085620_11948.jpg,./images/n02085620-Chihuahua/n02085620_11948.jpg,Chihuahua
14,n02085620-Chihuahua,n02085620_1205.jpg,./images/n02085620-Chihuahua/n02085620_1205.jpg,Chihuahua
15,n02085620-Chihuahua,n02085620_12101.jpg,./images/n02085620-Chihuahua/n02085620_12101.jpg,Chihuahua
16,n02085620-Chihuahua,n02085620_12334.jpg,./images/n02085620-Chihuahua/n02085620_12334.jpg,Chihuahua
17,n02085620-Chihuahua,n02085620_1235.jpg,./images/n02085620-Chihuahua/n02085620_1235.jpg,Chihuahua
18,n02085620-Chihuahua,n02085620_1271.jpg,./images/n02085620-Chihuahua/n02085620_1271.jpg,Chihuahua
19,n02085620-Chihuahua,n02085620_12718.jpg,./images/n02085620-Chihuahua/n02085620_12718.jpg,Chihuahua
20,n02085620-Chihuahua,n02085620_1298.jpg,./images/n02085620-Chihuahua/n02085620_1298.jpg,Chihuahua
21,n02085620-Chihuahua,n02085620_13151.jpg,./images/n02085620-Chihuahua/n02085620_13151.jpg,Chihuahua
22,n02085620-Chihuahua,n02085620_1321.jpg,./images/n02085620-Chihuahua/n02085620_1321.jpg,Chihuahua
23,n02085620-Chihuahua,n02085620_13383.jpg,./images/n02085620-Chihuahua/n02085620_13383.jpg,Chihuahua
24,n02085620-Chihuahua,n02085620_1346.jpg,./images/n02085620-Chihuahua/n02085620_1346.jpg,Chihuahua
25,n02085620-Chihuahua,n02085620_13964.jpg,./images/n02085620-Chihuahua/n02085620_13964.jpg,Chihuahua
26,n02085620-Chihuahua,n02085620_14252.jpg,./images/n02085620-Chihuahua/n02085620_14252.jpg,Chihuahua
27,n02085620-Chihuahua,n02085620_14413.jpg,./images/n02085620-Chihuahua/n02085620_14413.jpg,Chihuahua
28,n02085620-Chihuahua,n02085620_14516.jpg,./images/n02085620-Chihuahua/n02085620_14516.jpg,Chihuahua
29,n02085620-Chihuahua,n02085620_1455.jpg,./images/n02085620-Chihuahua/n02085620_1455.jpg,Chihuahua
30,n02085620-Chihuahua,n02085620_1492.jpg,./images/n02085620-Chihuahua/n02085620_1492.jpg,Chihuahua
31,n02085620-Chihuahua,n02085620_1502.jpg,./images/n02085620-Chihuahua/n02085620_1502.jpg,Chihuahua
32,n02085620-Chihuahua,n02085620_1558.jpg,./images/n02085620-Chihuahua/n02085620_1558.jpg,Chihuahua
33,n02085620-Chihuahua,n02085620_1569.jpg,./images/n02085620-Chihuahua/n02085620_1569.jpg,Chihuahua
34,n02085620-Chihuahua,n02085620_1617.jpg,./images/n02085620-Chihuahua/n02085620_1617.jpg,Chihuahua
35,n02085620-Chihuahua,n02085620_1620.jpg,./images/n02085620-Chihuahua/n02085620_1620.jpg,Chihuahua
36,n02085620-Chihuahua,n02085620_1765.jpg,./images/n02085620-Chihuahua/n02085620_1765.jpg,Chihuahua
37,n02085620-Chihuahua,n02085620_1816.jpg,./images/n02085620-Chihuahua/n02085620_1816.jpg,Chihuahua
